When Rated,Beer,Score,Comment
12/26/2008,Wychwood Fiddlers Elbow (Pasteurised),6,
12/26/2008,Efes Pilsen (Pilsener),3,
12/27/2008,Rogue Shakespeare Oatmeal Stout,6,
12/28/2008,Abbey Brewing Immaculate IPA,9,
12/28/2008,Ringwood Old Thumper (Cask),9,
12/28/2008,Sierra Nevada Celebration Ale,9,
12/28/2008,St. Bernardus Christmas Ale,8,
12/29/2008,Black Sheep Ale (Bottle),7,
12/29/2008,St. Louis Kriek,6,
12/30/2008,Weltenburger Kloster Asam Bock,8,
1/1/2009,Kona Pipeline Porter,7,
1/1/2009,Rogue Irish Style Lager,7,
1/10/2009,Leinenkugels Creamy Dark,3,
1/14/2009,Left Hand Snow Bound Winter Ale,8,
1/14/2009,Tabernash Dunkel Weiss,8,
1/14/2009,New Belgium Lips of Faith - Dunkelweiss,7,
1/14/2009,Arcadia Balls Porter,6,
1/14/2009,Left Hand Milk Stout,6,
1/16/2009,Schlafly Grand Cru,9,
1/16/2009,Schlafly Spiced Porter,7,
1/16/2009,Schlafly American Brown,5,
1/21/2009,District ChopHouse Amber Ale,7,
1/21/2009,District ChopHouse Dunkelweizen Bock,7,
1/21/2009,District ChopHouse Bourbon Stout,5,
1/21/2009,District ChopHouse Light Lager,5,
1/22/2009,Heather Ales Grozet,8,
1/22/2009,Leinenkugels 1888 Bock,7,
1/25/2009,Square One Bavarian Weizen,9,
1/25/2009,Square One Imperial Stout,9,
1/25/2009,Heather Ales Ebulum,8,
1/25/2009,Square One Barley Wine,8,
1/25/2009,Square One Single Malt Scotch Ale,8,
1/25/2009,Capitol City InaugurAle,7,
1/25/2009,Southern Tier Cherry Saison,7,
1/25/2009,Square One Dubbel,7,
1/25/2009,Square One Spicy Blonde,7,
1/25/2009,Square One Light Squared,6,
1/25/2009,Square One Nut Brown Ale,5,
1/25/2009,Square One Double Pilsner,4,
2/2/2009,Bells Hopslam,7,
2/4/2009,Bells Winter White,6,
2/4/2009,Square One Rauchbier,6,
2/7/2009,Buffalo Drool,8,
2/7/2009,Buffalo Gold,8,
2/7/2009,Odell Easy Street Wheat,8,
2/7/2009,Sierra Nevada Early Spring Beer (ESB),8,
2/7/2009,Buffalo ESB,7,
2/7/2009,Buffalo Extra Stout,7,
2/7/2009,Buffalo APA,6,
2/7/2009,Buffalo Red,5,
2/8/2009,Okocim Porter,6,
2/8/2009,Samuel Adams Blackberry Witbier,3,
2/9/2009,Reunion - A Beer For Hope 2008,8,
2/10/2009,Morgan Street Pumpkin Honey Wheat,6,
2/13/2009,Arcadia Pappy's Big Dick Bourbon Barrel Olde Ale,8,
2/15/2009,Arcadia Big Dicks Olde Ale,8,
2/15/2009,Ray Hills American Pilsner,7,
2/18/2009,Arcadia London Porter,5,
2/18/2009,North Coast Old Rasputin Russian Imperial Stout,5,
2/18/2009,Arcadia Nut Brown Ale,4,
2/26/2009,Haandbryggeriet Dark Force,8,
2/26/2009,Schloss Eggenberg Samichlaus Bier Helles,8,
2/26/2009,Bells Bourbon Barrel Double Cream/Expedition Stout,7,
2/26/2009,Guinness Draught,6,
3/1/2009,Mattingly HOPtimal Munition APA,8,
3/1/2009,District ChopHouse Spring Bock,7,
3/1/2009,Mattingly 1984 Golden Ale,5,
3/1/2009,Mattingly BrightSide Belgian White,5,
3/16/2009,Sierra Nevada Torpedo Extra IPA,8,
3/16/2009,K?nig Pilsener (Germany),6,
3/16/2009,Maisels Weisse Hell,6,
3/16/2009,Tegernseer Spezial,6,
3/16/2009,Maisels Weisse Dunkel,5,
3/16/2009,Staropramen Leû·k (Premium Lager) 12∞,5,
3/16/2009,Hambleton Nightmare,4,
3/16/2009,Becks Gold,3,
3/21/2009,Lemke Pilsner,9,
3/21/2009,Lemke M‰rzen,8,
3/21/2009,Lemke Hefeweizen Hell,7,
3/21/2009,Lemke Original,6,
3/21/2009,Fox and Hound Red Fox Amber Ale,5,
3/21/2009,Marcus-Br‰u Pils Filtriert,3,
3/21/2009,Charleville Tornado Alley Amber Ale,2,
3/21/2009,Marcus-Br‰u Preussen Dunkel,1,
3/24/2009,Charleville Tripel Wit,6,
4/1/2009,Breckenridge Pandoras Bock,5,
4/18/2009,Schlafly Helles,6,
4/18/2009,Sierra Nevada Summerfest,6,
4/22/2009,Leinenkugels Classic Amber,5,
4/23/2009,Granite City Brother Benedicts Mai Bock,7,
4/23/2009,Granite City Duke of Wellington India Pale Ale,7,
4/23/2009,Granite City Two-Pull! Specialty Brew,7,
4/23/2009,Granite City Northern Light,5,
4/23/2009,Granite City Broad Axe Stout,4,
4/28/2009,New Belgium Lips of Faith - Biere de Mars,8,
4/28/2009,Samuel Adams LongShot Traditional Bock,5,
4/28/2009,Samuel Adams LongShot Cranberry Wit,4,
4/30/2009,Samuel Adams LongShot Double IPA,5,
5/3/2009,Baileys Chocolate Bar Chocolate Ale,8,
5/3/2009,Charleville Maibock Lager,8,
5/3/2009,Mattingly Cardinal Direction Abbey Dubbel,8,
5/3/2009,Odell India Pale Ale (IPA),8,
5/3/2009,Erdinger Weissbier (Hefe-Weizen),7,
5/3/2009,New Holland Rauch Hatter,7,
5/3/2009,Pyramid Audacious Apricot Ale,7,
5/3/2009,Sierra Nevada Wheat,7,
5/3/2009,Tommyknocker Butt Head Bock,7,
5/3/2009,Two Hearted Ale,7,
5/3/2009,Woodchuck Dark and Dry 802 Draft Cider,7,
5/3/2009,Anderson Valley Deep Enders Dark Porter,6,
5/3/2009,Augusta 1856 IPA,6,
5/3/2009,Bards Tale Dragons Gold,6,
5/3/2009,Bells Oberon Ale,6,
5/3/2009,Buckner Pale Ale,6,
5/3/2009,Coney Island Human Blockhead,6,
5/3/2009,Mattingly Black Dawn Coffee Porter,6,
5/3/2009,Mattingly Black Sky Stout Porter,6,
5/3/2009,Mattingly Homeward Brown,6,
5/3/2009,Morgan Street Golden Pilsner,6,
5/3/2009,Morgan Street Irish Stout,6,
5/3/2009,Ommegang Rare Vos,6,
5/3/2009,Southern Tier Un*Earthly,6,
5/3/2009,Tin Mill Doppelbock Beer,6,
5/3/2009,Tin Mill Maibock Beer,6,
5/3/2009,Augusta Hyde Park Stout,5,
5/3/2009,Augusta Tannhauser Pale Ale,5,
5/3/2009,Cider Jack Hard Cider,5,
5/3/2009,Coney Island Sword Swallower Steel Hop Lager,5,
5/3/2009,Dundee Pale Bock Lager,5,
5/3/2009,Ommegang Witte,5,
5/3/2009,Shipyard Fuggles IPA,5,
5/3/2009,Tin Mill Hefe-Weizen Beer,5,
5/3/2009,Tin Mill Skyscraper,5,
5/3/2009,Augusta Alpen Brau Pilsner,4,
5/3/2009,Buckner Belgian Witbier,4,
5/3/2009,Buckner Honey Wheat,4,
5/3/2009,Morgan Street Maibock,4,
5/3/2009,New Holland The Poet,4,
5/3/2009,Coney Island Albino Python,3,
5/3/2009,Morgan Street Decadence,3,
5/3/2009,Hambleton Toleration,2,
5/9/2009,Anderson Valley Hop Ottin IPA,9,
5/9/2009,Bear Republic The Grizz,9,
5/9/2009,Boulevard Boss Tom's Golden Bock,7,
5/9/2009,BrewDog The Physics,7,
5/9/2009,Saison Dupont Vieille Provision,7,
5/9/2009,Avery New World Porter,6,
5/9/2009,Sierra Nevada Bigfoot,6,
5/9/2009,North Coast Brother Thelonious,5,
5/13/2009,Kruöovice ?erne,8,
5/13/2009,Rothaus Pils Tannen Z‰pfle,6,
5/13/2009,Schlafly Bavarian Wheat,6,
5/13/2009,Berliner Pilsner,5,
5/15/2009,Left Hand Wake Up Dead Barrel-Aged Imperial Stout,7,
